"uri","friendly","rating"
"https://en.wikipedia.org/wiki/Category:Australian_capital_cities","AustralianCapitalCities",-1.0
"https://en.wikipedia.org/wiki/Category:Cantonal_capitals_of_Switzerland","CantonalCapitalsOfSwitzerland",-0.6
"https://en.wikipedia.org/wiki/Category:Capital_districts_and_territories","CapitalDistrictsAndTerritories",-0.8
"https://en.wikipedia.org/wiki/Category:Capitals_in_Africa","CapitalsInAfrica",0.8
"https://en.wikipedia.org/wiki/Category:Capitals_in_Asia","CapitalsInAsia",-0.2
"https://en.wikipedia.org/wiki/Category:Capitals_in_Europe","CapitalsInEurope",-0.6
"https://en.wikipedia.org/wiki/Category:Capitals_of_Pakistan","CapitalsOfPakistan",0.0
"https://en.wikipedia.org/wiki/Category:Cities_in_Central_Asia","CitiesInCentralAsia",0.2
"https://en.wikipedia.org/wiki/Category:Cities_in_Switzerland","CitiesInSwitzerland",-1.0
"https://en.wikipedia.org/wiki/Category:Coastal_cities_in_Australia","CoastalCitiesInAustralia",-1.0
"https://en.wikipedia.org/wiki/Category:County_seats_in_Pennsylvania","CountySeatsInPennsylvania",-0.2
"https://en.wikipedia.org/wiki/Category:German_state_capitals","GermanStateCapitals",-0.8
"https://en.wikipedia.org/wiki/Category:Indian_capital_cities","IndianCapitalCities",0.6
"https://en.wikipedia.org/wiki/Category:Metropolitan_areas_of_Pakistan","MetropolitanAreasOfPakistan",0.4
"https://en.wikipedia.org/wiki/Category:Metropolitan_cities_in_India","MetropolitanCitiesInIndia",-0.6
"https://en.wikipedia.org/wiki/Category:NUTS_1_statistical_regions_of_the_European_Union","NUTS1StatisticalRegionsOfTheEuropeanUnion",0.0
"https://en.wikipedia.org/wiki/Category:NUTS_3_statistical_regions_of_the_European_Union","NUTS3StatisticalRegionsOfTheEuropeanUnion",0.0
"https://en.wikipedia.org/wiki/Category:Planned_cities_in_Pakistan","PlannedCitiesInPakistan",-0.4
"https://en.wikipedia.org/wiki/Category:Populated_coastal_places_in_Japan","PopulatedCoastalPlacesInJapan",-0.2
"https://en.wikipedia.org/wiki/Category:Populated_places_established_in_the_1st_millennium_BC","PopulatedPlacesEstablishedInThe1stMillenniumBC",0.0
"https://en.wikipedia.org/wiki/Category:Populated_places_in_Gabon","PopulatedPlacesInGabon",-0.2
"https://en.wikipedia.org/wiki/Category:Port_cities_and_towns_of_the_Baltic_Sea","PortCitiesAndTownsOfTheBalticSea",-0.6
"https://en.wikipedia.org/wiki/Category:Port_cities_and_towns_of_the_North_Sea","PortCitiesAndTownsOfTheNorthSea",-0.6
"https://en.wikipedia.org/wiki/Category:Port_cities_in_Africa","PortCitiesInAfrica",0.2
"https://en.wikipedia.org/wiki/Category:Port_settlements_in_Japan","PortSettlementsInJapan",-0.8
"https://en.wikipedia.org/wiki/Category:Port_settlements_in_the_United_States","PortSettlementsInTheUnitedStates",-0.4
"https://en.wikipedia.org/wiki/Category:Provincial_capitals_in_Mozambique","ProvincialCapitalsInMozambique",0.8
"https://en.wikipedia.org/wiki/Category:Regional_capitals_in_Ghana","RegionalCapitalsInGhana",-0.2
"https://en.wikipedia.org/wiki/Category:Regional_capitals_in_Senegal","RegionalCapitalsInSenegal",0.0
"https://en.wikipedia.org/wiki/Category:Regions_of_Mali","RegionsOfMali",0.2
"https://en.wikipedia.org/wiki/Category:Regions_of_Niger","RegionsOfNiger",1.0
"https://en.wikipedia.org/wiki/Category:Viking_Age_populated_places","VikingAgePopulatedPlaces",0.2
"https://en.wikipedia.org/wiki/Category:World_Heritage_Sites_in_Switzerland","WorldHeritageSitesInSwitzerland",-0.8
